上海,32679,2418
北京,30320,2171
深圳,24691,1253
广州,23000,1450
重庆,20363,3372
天津,18809,1557
苏州,18597,1068
成都,15342,1605
武汉,14847,1112
杭州,13500,949
南京,12820,850
青岛,12561,929
长沙,11527,800
无锡,11438,655
宁波,10745,801
佛山,10550,846
郑州,10200,1012
济南,8862,870
泉州,8467,865
南通,8427,731
西安,8349,1255
东莞,8300,832
烟台,8006,706
福州,7856,766
大连,7825,702
合肥,7822,803
唐山,7159,1024
长春,7085,749
常州,7050,520
哈尔滨,7002,1093
石家庄,6963,1078
潍坊,6805,936
徐州,6755,892
沈阳,6350,829
温州,6006,919
盐城,5487,724
扬州,5466,500
绍兴,5416,501
昆明,5350,726
淄博,5292,470
